Name,Age,Salary,Department,Joined_Date,Performance
Employee_v2_001,33.0,forty thousand,QA,2016-05-06,Poor
Employee_v2_002,38.0,,Engineering,2017-06-28,Good
Employee_v2_003,24.0,,Product,2019-08-30,Poor
Employee_v2_004,43.0,forty thousand,Support,2021-06-19,Good
Employee_v2_005,34.0,forty thousand,QA,2019-08-22,Poor
Employee_v2_006,,8938275,Engineering,2017-06-21,Poor
Employee_v2_007,37.0,sixty-five hundred thousand,Engineering,2020-01-28,Poor
Employee_v2_008,27.0,7741348,Support,2021-07-18,Good
Employee_v2_009,,6790681,Support,2016-11-02,Poor
Employee_v2_010,,forty thousand,QA,2024-02-03,Good
Employee_v2_011,34.0,forty thousand,QA,2022-06-23,Good
Employee_v2_012,,,Engineering,2022-01-29,Good
Employee_v2_013,42.0,6418324,QA,2019-05-07,Poor
Employee_v2_014,43.0,sixty-five hundred thousand,Engineering,2019-01-15,Poor
Employee_v2_015,,5257645,Engineering,2015-06-04,Poor
Employee_v2_016,37.0,forty thousand,Product,2015-06-20,Poor
Employee_v2_017,35.0,7217137,QA,2020-10-20,Good
Employee_v2_018,,forty thousand,QA,2018-04-22,Good
Employee_v2_019,,4777907,Product,2020-01-10,Good
Employee_v2_020,,8123769,QA,2016-08-01,Poor
Employee_v2_021,28.0,8899459,QA,2023-10-24,Poor
Employee_v2_022,38.0,sixty-five hundred thousand,Engineering,2015-12-19,Poor
Employee_v2_023,36.0,forty thousand,Engineering,2023-07-14,Good
Employee_v2_024,,,Product,2021-10-27,Poor
Employee_v2_025,36.0,4084685,Engineering,2016-12-05,Poor
Employee_v2_026,30.0,,Product,2015-05-09,Good
Employee_v2_027,29.0,forty thousand,QA,2015-06-06,Poor
Employee_v2_028,,,Engineering,2024-06-26,Poor
Employee_v2_029,37.0,forty thousand,Product,2017-03-31,Poor
Employee_v2_030,,,Support,2016-08-28,Good
Employee_v2_031,31.0,forty thousand,Product,2016-10-15,Good
Employee_v2_032,33.0,,QA,2024-01-04,Good
Employee_v2_033,,,Support,2022-01-10,Poor
Employee_v2_034,31.0,8297695,Product,2022-02-12,Good
Employee_v2_035,24.0,6654596,Support,2021-02-20,Poor
Employee_v2_036,,4803337,Engineering,2016-10-05,Good
Employee_v2_037,,forty thousand,Engineering,2018-08-31,Good
Employee_v2_038,,8160855,Support,2015-07-24,Good
Employee_v2_039,,sixty-five hundred thousand,Engineering,2019-05-29,Good
Employee_v2_040,26.0,forty thousand,Product,2024-09-24,Good
Employee_v2_041,39.0,forty thousand,Support,2019-07-25,Good
Employee_v2_042,,forty thousand,Engineering,2022-11-09,Poor
Employee_v2_043,26.0,,Product,2021-12-11,Poor
Employee_v2_044,,sixty-five hundred thousand,Support,2016-03-16,Poor
Employee_v2_045,,,QA,2024-08-18,Poor
Employee_v2_046,,sixty-five hundred thousand,Engineering,2022-08-14,Poor
Employee_v2_047,33.0,forty thousand,Support,2018-08-16,Poor
Employee_v2_048,26.0,forty thousand,Product,2016-03-13,Good
Employee_v2_049,30.0,6915094,Product,2018-07-05,Good
Employee_v2_050,,sixty-five hundred thousand,Engineering,2020-03-27,Good
Employee_v2_051,43.0,,Product,2016-07-22,Poor
Employee_v2_052,,sixty-five hundred thousand,QA,2017-04-12,Poor
Employee_v2_053,,forty thousand,Support,2020-03-31,Good
Employee_v2_054,42.0,forty thousand,Engineering,2020-06-27,Poor
Employee_v2_055,34.0,sixty-five hundred thousand,Product,2019-06-30,Good
Employee_v2_056,,6609735,QA,2020-08-31,Poor
Employee_v2_057,,,Support,2024-08-12,Poor
Employee_v2_058,,sixty-five hundred thousand,Product,2023-12-17,Good
Employee_v2_059,35.0,forty thousand,Engineering,2016-06-02,Good
Employee_v2_060,34.0,forty thousand,QA,2024-10-06,Good
Employee_v2_061,35.0,sixty-five hundred thousand,QA,2023-05-17,Poor
Employee_v2_062,,sixty-five hundred thousand,QA,2021-09-23,Good
Employee_v2_063,,forty thousand,Support,2021-05-11,Good
Employee_v2_064,27.0,,Product,2022-03-06,Good
Employee_v2_065,,8319717,QA,2020-04-26,Poor
Employee_v2_066,,sixty-five hundred thousand,Product,2020-05-27,Good
Employee_v2_067,35.0,sixty-five hundred thousand,Product,2022-06-07,Good
Employee_v2_068,42.0,7504269,QA,2015-05-17,Good
Employee_v2_069,,6773821,Product,2018-02-26,Good
Employee_v2_070,,sixty-five hundred thousand,Product,2016-01-20,Poor
Employee_v2_071,,7370882,Support,2019-10-19,Poor
Employee_v2_072,42.0,,QA,2018-08-10,Good
Employee_v2_073,27.0,,Engineering,2022-09-03,Poor
Employee_v2_074,,6396686,Support,2024-07-27,Good
Employee_v2_075,,5651061,Support,2022-11-24,Poor
Employee_v2_076,,7403965,QA,2016-11-28,Poor
Employee_v2_077,,,Engineering,2016-11-21,Poor
Employee_v2_078,,8458208,Product,2016-09-15,Good
Employee_v2_079,,sixty-five hundred thousand,Product,2022-02-04,Poor
Employee_v2_080,28.0,6902336,Product,2023-10-14,Poor
Employee_v2_081,32.0,,Support,2015-01-23,Poor
Employee_v2_082,,sixty-five hundred thousand,Product,2023-01-26,Good
Employee_v2_083,,forty thousand,QA,2019-08-21,Good
Employee_v2_084,39.0,sixty-five hundred thousand,Support,2020-09-13,Good
Employee_v2_085,39.0,sixty-five hundred thousand,Engineering,2020-01-31,Poor
Employee_v2_086,25.0,sixty-five hundred thousand,QA,2020-06-26,Good
Employee_v2_087,,sixty-five hundred thousand,Support,2018-01-15,Good
Employee_v2_088,,5187609,QA,2021-08-30,Good
Employee_v2_089,,8815423,QA,2019-11-12,Poor
Employee_v2_090,,forty thousand,Support,2019-02-07,Poor
Employee_v2_091,,forty thousand,QA,2021-02-07,Good
Employee_v2_092,,7889163,QA,2022-08-10,Poor
Employee_v2_093,30.0,8705413,Support,2022-09-28,Poor
Employee_v2_094,39.0,forty thousand,QA,2015-05-28,Poor
Employee_v2_095,29.0,5587802,QA,2019-03-26,Good
Employee_v2_096,,,Engineering,2020-03-10,Good
Employee_v2_097,35.0,sixty-five hundred thousand,Engineering,2015-02-26,Good
Employee_v2_098,,sixty-five hundred thousand,QA,2015-11-11,Good
Employee_v2_099,,sixty-five hundred thousand,QA,2019-01-18,Poor
Employee_v2_100,,sixty-five hundred thousand,Engineering,2015-03-01,Good
Employee_v2_101,,sixty-five hundred thousand,Product,2022-04-06,Poor
Employee_v2_102,42.0,6052068,QA,2021-07-16,Poor
Employee_v2_103,29.0,6383349,Product,2023-12-08,Good
Employee_v2_104,,forty thousand,QA,2017-03-15,Good
Employee_v2_105,38.0,7781501,Product,2024-08-01,Good
Employee_v2_106,,8279488,Product,2018-03-29,Good
Employee_v2_107,24.0,forty thousand,Support,2023-06-12,Poor
Employee_v2_108,,sixty-five hundred thousand,Support,2021-08-29,Poor
Employee_v2_109,,forty thousand,Engineering,2024-07-26,Poor
Employee_v2_110,34.0,forty thousand,Product,2023-03-27,Good
Employee_v2_111,30.0,,QA,2020-01-09,Good
Employee_v2_112,35.0,forty thousand,Support,2020-03-09,Poor
Employee_v2_113,44.0,forty thousand,Product,2022-08-03,Good
Employee_v2_114,,sixty-five hundred thousand,Product,2018-08-31,Good
Employee_v2_115,,8824496,QA,2018-06-26,Good
Employee_v2_116,35.0,,Product,2024-04-18,Good
Employee_v2_117,,forty thousand,Engineering,2022-11-02,Good
Employee_v2_118,,forty thousand,QA,2021-06-09,Poor
Employee_v2_119,37.0,forty thousand,QA,2019-08-17,Poor
Employee_v2_120,30.0,6231504,Product,2015-10-31,Poor
Employee_v2_121,27.0,forty thousand,QA,2015-05-10,Poor
Employee_v2_122,29.0,forty thousand,Product,2021-12-15,Poor
Employee_v2_123,28.0,6280984,Product,2017-06-16,Poor
Employee_v2_124,,,Product,2019-10-22,Good
Employee_v2_125,45.0,sixty-five hundred thousand,QA,2016-01-13,Poor
Employee_v2_126,,4327372,Support,2022-10-21,Poor
Employee_v2_127,28.0,forty thousand,Product,2021-07-31,Good
Employee_v2_128,42.0,,Product,2022-03-31,Good
Employee_v2_129,,forty thousand,QA,2018-04-16,Good
Employee_v2_130,41.0,forty thousand,QA,2021-08-29,Poor
Employee_v2_131,33.0,sixty-five hundred thousand,Engineering,2016-05-28,Poor
Employee_v2_132,,sixty-five hundred thousand,Product,2021-03-31,Good
Employee_v2_133,43.0,sixty-five hundred thousand,QA,2016-06-21,Poor
Employee_v2_134,42.0,4041032,Product,2020-06-12,Poor
Employee_v2_135,42.0,,Support,2019-01-16,Good
Employee_v2_136,29.0,sixty-five hundred thousand,Product,2017-04-09,Poor
Employee_v2_137,,,Support,2021-10-06,Poor
Employee_v2_138,,forty thousand,Product,2019-03-31,Good
Employee_v2_139,34.0,4063178,QA,2024-12-21,Good
Employee_v2_140,,,Product,2024-02-02,Poor
Employee_v2_141,,,QA,2019-05-30,Poor
Employee_v2_142,,sixty-five hundred thousand,Engineering,2018-05-24,Good
Employee_v2_143,36.0,forty thousand,Support,2017-01-22,Poor
Employee_v2_144,41.0,forty thousand,Product,2019-02-09,Good
